fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,calle_hechos,longitud,latitud,uv,ilu_luna,punto_rocio,temp_sentir,nubosidad,humedad,precipitacion,presion,temperatura,visibilidad,dir_viento,vel_viento,nombre_dia,dia_festivo
2016-01-31 03:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,DURANGO,-99.16483599999991,19.4201289998334,4,50,3,13,6,50,0.0,1018,11,10,184,7,6,0
2016-02-01 22:35:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,ROMA NORTE,PLAZA  RIO DE JANEIRO,-99.1610799999999,19.4215529998335,5,34,3,15,5,42,0.0,1013,14,10,193,11,0,0
2016-02-03 14:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,TABASCO,-99.15875599999991,19.4193909998331,5,18,0,24,5,19,0.0,1012,23,10,220,11,2,0
2016-02-04 22:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,ROMA NORTE,JALAPA,-99.1621719999999,19.4222179998333,4,11,5,10,7,68,0.0,1021,10,10,18,11,3,1
2016-02-11 12:00:00,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,OAXACA,-99.1689809999999,19.4169179998332,4,19,1,21,0,27,0.0,1020,16,10,353,6,3,0
2016-02-12 13:10:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,GUADALAJARA,-99.172899,19.4203939998336,4,27,-3,20,3,21,0.0,1019,18,10,232,9,4,0
2016-02-13 08:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",57,UI-1CD,CUAUHTEMOC,ROMA NORTE,DURANGO,-99.1604379999999,19.4198059998336,4,34,3,9,7,64,0.0,1024,7,10,127,6,5,0
2016-02-16 10:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1SD,CUAUHTEMOC,ROMA NORTE,ALVARO OBREGON,-99.1672462999999,19.417059799833897,4,57,4,18,6,39,0.0,1016,16,10,147,3,1,0
2016-02-18 05:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,PLAZA VILLA DE MADRID,-99.1664979999999,19.419677999833898,4,72,4,8,6,77,0.0,1022,6,10,237,2,3,0
2016-02-18 13:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,MERIDA,-99.1584539999999,19.4231609998331,4,72,-9,25,0,9,0.0,1019,19,10,259,2,3,0
2016-02-20 03:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,MEDELLIN,-99.16525699999991,19.4145759998331,4,87,9,13,5,76,0.0,1019,10,10,36,3,5,0
2016-02-20 19:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2CD,CUAUHTEMOC,ROMA NORTE,CHIHUAHUA,-99.1595819999999,19.4175139998335,4,87,5,23,1,33,0.0,1013,19,10,210,6,5,0
2016-02-21 23:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1CD,CUAUHTEMOC,ROMA NORTE,GUADALAJARA,-99.1720229999998,19.416970999833698,5,95,9,18,1,55,0.0,1013,14,10,141,2,6,0
2016-02-24 14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,MONTERREY,-99.16451399999991,19.4181729998334,5,83,2,23,45,24,0.0,1014,23,10,190,12,2,0
2016-02-28 22:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2CD,CUAUHTEMOC,ROMA NORTE,MEDELLIN,-99.1660209999999,19.4178429998332,5,53,5,18,3,44,0.0,1017,15,10,88,2,6,0
